County,Age Range,Population
Adams,0-19,7213
Adams,20-29,3049
Adams,30-39,2923
Adams,40-49,3545
Adams,50-59,3826
Adams,60-69,3705
Adams,70-79,2311
Adams,80+,1126
Allen,0-19,26543
Allen,20-29,13772
Allen,30-39,11932
Allen,40-49,11674
Allen,50-59,12958
Allen,60-69,12954
Allen,70-79,7820
Allen,80+,4698
Ashland,0-19,13803
Ashland,20-29,7000
Ashland,30-39,5883
Ashland,40-49,5921
Ashland,50-59,6824
Ashland,60-69,7020
Ashland,70-79,4449
Ashland,80+,2584
Ashtabula,0-19,23419
Ashtabula,20-29,11251
Ashtabula,30-39,10934
Ashtabula,40-49,11491
Ashtabula,50-59,13805
Ashtabula,60-69,13462
Ashtabula,70-79,8389
Ashtabula,80+,4490
Athens,0-19,16041
Athens,20-29,15853
Athens,30-39,7311
Athens,40-49,6524
Athens,50-59,6985
Athens,60-69,6903
Athens,70-79,3826
Athens,80+,1884
Auglaize,0-19,11979
Auglaize,20-29,5234
Auglaize,30-39,5176
Auglaize,40-49,5260
Auglaize,50-59,6155
Auglaize,60-69,5984
Auglaize,70-79,3550
Auglaize,80+,2318
Belmont,0-19,13836
Belmont,20-29,8124
Belmont,30-39,8144
Belmont,40-49,7993
Belmont,50-59,9284
Belmont,60-69,9970
Belmont,70-79,5930
Belmont,80+,3725
Brown,0-19,10841
Brown,20-29,4877
Brown,30-39,4921
Brown,40-49,5485
Brown,50-59,6100
Brown,60-69,5749
Brown,70-79,3560
Brown,80+,1899
Butler,0-19,102997
Butler,20-29,56323
Butler,30-39,46515
Butler,40-49,45562
Butler,50-59,49547
Butler,60-69,43627
Butler,70-79,24988
Butler,80+,13575
Carroll,0-19,6183
Carroll,20-29,2808
Carroll,30-39,2753
Carroll,40-49,3236
Carroll,50-59,3934
Carroll,60-69,4026
Carroll,70-79,2582
Carroll,80+,1392
Champaign,0-19,9594
Champaign,20-29,4708
Champaign,30-39,4335
Champaign,40-49,4736
Champaign,50-59,5579
Champaign,60-69,4968
Champaign,70-79,3261
Champaign,80+,1704
Clark,0-19,33646
Clark,20-29,16397
Clark,30-39,15133
Clark,40-49,15285
Clark,50-59,17983
Clark,60-69,17589
Clark,70-79,11552
Clark,80+,6498
Clermont,0-19,51249
Clermont,20-29,24663
Clermont,30-39,26060
Clermont,40-49,25550
Clermont,50-59,29109
Clermont,60-69,26834
Clermont,70-79,15486
Clermont,80+,7477
Clinton,0-19,10711
Clinton,20-29,5286
Clinton,30-39,4898
Clinton,40-49,4992
Clinton,50-59,5614
Clinton,60-69,5498
Clinton,70-79,3260
Clinton,80+,1709
Columbiana,0-19,22607
Columbiana,20-29,11219
Columbiana,30-39,11660
Columbiana,40-49,12381
Columbiana,50-59,14327
Columbiana,60-69,15189
Columbiana,70-79,9304
Columbiana,80+,5196
Coshocton,0-19,9487
Coshocton,20-29,4069
Coshocton,30-39,4200
Coshocton,40-49,4104
Coshocton,50-59,4845
Coshocton,60-69,4929
Coshocton,70-79,3156
Coshocton,80+,1810
Crawford,0-19,9824
Crawford,20-29,4787
Crawford,30-39,4421
Crawford,40-49,5005
Crawford,50-59,5573
Crawford,60-69,5723
Crawford,70-79,3827
Crawford,80+,2334
Cuyahoga,0-19,283213
Cuyahoga,20-29,170402
Cuyahoga,30-39,159856
Cuyahoga,40-49,139394
Cuyahoga,50-59,164135
Cuyahoga,60-69,161351
Cuyahoga,70-79,95226
Cuyahoga,80+,61495
Darke,0-19,13219
Darke,20-29,5694
Darke,30-39,5516
Darke,40-49,5855
Darke,50-59,7050
Darke,60-69,6634
Darke,70-79,4528
Darke,80+,2617
Defiance,0-19,9651
Defiance,20-29,4558
Defiance,30-39,4558
Defiance,40-49,4510
Defiance,50-59,4704
Defiance,60-69,5125
Defiance,70-79,3193
Defiance,80+,1788
Delaware,0-19,59625
Delaware,20-29,19885
Delaware,30-39,27208
Delaware,40-49,32814
Delaware,50-59,28210
Delaware,60-69,22138
Delaware,70-79,13155
Delaware,80+,6142
Erie,0-19,16495
Erie,20-29,8701
Erie,30-39,8022
Erie,40-49,8183
Erie,50-59,10268
Erie,60-69,11044
Erie,70-79,7390
Erie,80+,4163
Fairfield,0-19,41296
Fairfield,20-29,18639
Fairfield,30-39,19926
Fairfield,40-49,20737
Fairfield,50-59,21751
Fairfield,60-69,18151
Fairfield,70-79,11403
Fairfield,80+,5671
Fayette,0-19,7247
Fayette,20-29,3348
Fayette,30-39,3368
Fayette,40-49,3543
Fayette,50-59,3864
Fayette,60-69,3637
Fayette,70-79,2363
Fayette,80+,1155
Franklin,0-19,342763
Franklin,20-29,213307
Franklin,30-39,213364
Franklin,40-49,159954
Franklin,50-59,152355
Franklin,60-69,129229
Franklin,70-79,69589
Franklin,80+,36195
Fulton,0-19,10847
Fulton,20-29,4836
