County,Age Range,Population
Fulton,30-39,4845
Fulton,40-49,5062
Fulton,50-59,5716
Fulton,60-69,5705
Fulton,70-79,3246
Fulton,80+,1869
Gallia,0-19,7533
Gallia,20-29,3519
Gallia,30-39,3396
Gallia,40-49,3560
Gallia,50-59,3915
Gallia,60-69,4031
Gallia,70-79,2548
Gallia,80+,1396
Geauga,0-19,23340
Geauga,20-29,9713
Geauga,30-39,8790
Geauga,40-49,10617
Geauga,50-59,14081
Geauga,60-69,13564
Geauga,70-79,8778
Geauga,80+,4766
Greene,0-19,40957
Greene,20-29,25310
Greene,30-39,21263
Greene,40-49,18464
Greene,50-59,21873
Greene,60-69,21010
Greene,70-79,12892
Greene,80+,7168
Guernsey,0-19,9334
Guernsey,20-29,4633
Guernsey,30-39,4390
Guernsey,40-49,4500
Guernsey,50-59,5406
Guernsey,60-69,5338
Guernsey,70-79,3418
Guernsey,80+,1856
Hamilton,0-19,211050
Hamilton,20-29,116874
Hamilton,30-39,113488
Hamilton,40-49,91224
Hamilton,50-59,102839
Hamilton,60-69,96695
Hamilton,70-79,53030
Hamilton,80+,32273
Hancock,0-19,18835
Hancock,20-29,9987
Hancock,30-39,9591
Hancock,40-49,8822
Hancock,50-59,10011
Hancock,60-69,9285
Hancock,70-79,5814
Hancock,80+,3438
Hardin,0-19,8635
Hardin,20-29,5157
Hardin,30-39,3171
Hardin,40-49,3527
Hardin,50-59,3828
Hardin,60-69,3563
Hardin,70-79,2250
Hardin,80+,1234
Harrison,0-19,3418
Harrison,20-29,1522
Harrison,30-39,1559
Harrison,40-49,1733
Harrison,50-59,2212
Harrison,60-69,2418
Harrison,70-79,1422
Harrison,80+,756
Henry,0-19,6840
Henry,20-29,3040
Henry,30-39,3101
Henry,40-49,3242
Henry,50-59,3637
Henry,60-69,3601
Henry,70-79,2147
Henry,80+,1398
Highland,0-19,11129
Highland,20-29,4936
Highland,30-39,4821
Highland,40-49,5269
Highland,50-59,5791
Highland,60-69,5636
Highland,70-79,3636
Highland,80+,1943
Hocking,0-19,6774
Hocking,20-29,3145
Hocking,30-39,3138
Hocking,40-49,3504
Hocking,50-59,4059
Hocking,60-69,3859
Hocking,70-79,2528
Hocking,80+,1257
Holmes,0-19,14748
Holmes,20-29,6207
Holmes,30-39,5014
Holmes,40-49,4705
Holmes,50-59,4782
Holmes,60-69,4310
Holmes,70-79,2596
Holmes,80+,1598
Huron,0-19,15302
Huron,20-29,6992
Huron,30-39,6756
Huron,40-49,6961
Huron,50-59,7946
Huron,60-69,7457
Huron,70-79,4494
Huron,80+,2358
Jackson,0-19,8452
Jackson,20-29,3776
Jackson,30-39,3968
Jackson,40-49,4019
Jackson,50-59,4269
Jackson,60-69,4180
Jackson,70-79,2553
Jackson,80+,1196
Jefferson,0-19,14316
Jefferson,20-29,8190
Jefferson,30-39,6834
Jefferson,40-49,7423
Jefferson,50-59,8922
Jefferson,60-69,9931
Jefferson,70-79,6112
Jefferson,80+,3597
Knox,0-19,16423
Knox,20-29,8289
Knox,30-39,6786
Knox,40-49,6850
Knox,50-59,7979
Knox,60-69,8171
Knox,70-79,5090
Knox,80+,2734
Lake,0-19,50358
Lake,20-29,27127
Lake,30-39,27106
Lake,40-49,27116
Lake,50-59,33010
Lake,60-69,32968
Lake,70-79,20826
Lake,80+,11638
Lawrence,0-19,14052
Lawrence,20-29,6967
Lawrence,30-39,7069
Lawrence,40-49,7548
Lawrence,50-59,8204
Lawrence,60-69,7768
Lawrence,70-79,5227
Lawrence,80+,2628
Licking,0-19,45386
Licking,20-29,21255
Licking,30-39,21971
Licking,40-49,21842
Licking,50-59,24674
Licking,60-69,21646
Licking,70-79,13576
Licking,80+,6512
Logan,0-19,11493
Logan,20-29,5200
Logan,30-39,5217
Logan,40-49,5472
Logan,50-59,6450
Logan,60-69,6197
Logan,70-79,3752
Logan,80+,1891
Lorain,0-19,75443
Lorain,20-29,36484
Lorain,30-39,36085
Lorain,40-49,38543
Lorain,50-59,43051
Lorain,60-69,40921
Lorain,70-79,25255
Lorain,80+,14051
Lucas,0-19,108973
Lucas,20-29,58798
Lucas,30-39,55105
Lucas,40-49,49528
Lucas,50-59,55178
Lucas,60-69,53268
Lucas,70-79,30464
Lucas,80+,17034
Madison,0-19,10011
Madison,20-29,5599
Madison,30-39,6309
Madison,40-49,6400
Madison,50-59,6451
Madison,60-69,5136
Madison,70-79,3187
Madison,80+,1638
Mahoning,0-19,51054
Mahoning,20-29,28985
Mahoning,30-39,25681
Mahoning,40-49,25920
Mahoning,50-59,30369
Mahoning,60-69,33295
Mahoning,70-79,20199
Mahoning,80+,13180
Marion,0-19,15008
Marion,20-29,8499
Marion,30-39,8226
Marion,40-49,8193
Marion,50-59,8871
Marion,60-69,8239
Marion,70-79,5179
Marion,80+,2878
Medina,0-19,43554
Medina,20-29,18968
Medina,30-39,21275
Medina,40-49,23308
Medina,50-59,26666
Medina,60-69,23695
Medina,70-79,14968
Medina,80+,7312
Meigs,0-19,5336
Meigs,20-29,2304
Meigs,30-39,2640
Meigs,40-49,2871
Meigs,50-59,3335
Meigs,60-69,3328
Meigs,70-79,1986
Meigs,80+,1107
Mercer,0-19,11556
Mercer,20-29,4882
Mercer,30-39,4699
Mercer,40-49,4324
Mercer,50-59,5234
Mercer,60-69,5492
Mercer,70-79,3020
Mercer,80+,1965
Miami,0-19,26809
Miami,20-29,11703
Miami,30-39,13293
Miami,40-49,13143
Miami,50-59,14405
Miami,60-69,13667
Miami,70-79,9150
Miami,80+,4817
Monroe,0-19,3003
Monroe,20-29,1389
Monroe,30-39,1420
Monroe,40-49,1601
Monroe,50-59,1910
Monroe,60-69,2060
Monroe,70-79,1487
Monroe,80+,784
Montgomery,0-19,130399
Montgomery,20-29,73365
Montgomery,30-39,67242
Montgomery,40-49,59376
Montgomery,50-59,68519
Montgomery,60-69,65574
Montgomery,70-79,41856
Montgomery,80+,25356
Morgan,0-19,3289
Morgan,20-29,1569
Morgan,30-39,1583
Morgan,40-49,1697
Morgan,50-59,2087
Morgan,60-69,2113
Morgan,70-79,1349
Morgan,80+,821
Morrow,0-19,8704
Morrow,20-29,3748
Morrow,30-39,4049
Morrow,40-49,4663
Morrow,50-59,5151
Morrow,60-69,4832
Morrow,70-79,2740
Morrow,80+,1441
Muskingum,0-19,21387
Muskingum,20-29,11380
Muskingum,30-39,10028
Muskingum,40-49,10197
Muskingum,50-59,11506
Muskingum,60-69,11005
Muskingum,70-79,6847
Muskingum,80+,3865
Noble,0-19,2903
Noble,20-29,1306
Noble,30-39,1278
Noble,40-49,1245
Noble,50-59,1920
Noble,60-69,2876
Noble,70-79,1959
Noble,80+,937
Ottawa,0-19,8104
Ottawa,20-29,3847
Ottawa,30-39,3943
Ottawa,40-49,4447
Ottawa,50-59,6002
Ottawa,60-69,6999
Ottawa,70-79,4776
Ottawa,80+,2407
Paulding,0-19,4803
Paulding,20-29,2068
Paulding,30-39,2097
Paulding,40-49,2210
Paulding,50-59,2612
Paulding,60-69,2515
Paulding,70-79,1559
Paulding,80+,808
Perry,0-19,9240
Perry,20-29,4151
Perry,30-39,4306
Perry,40-49,4477
Perry,50-59,5204
Perry,60-69,4773
Perry,70-79,2741
Perry,80+,1242
Pickaway,0-19,13823
Pickaway,20-29,7769
Pickaway,30-39,7818
Pickaway,40-49,7983
Pickaway,50-59,7935
Pickaway,60-69,6772
Pickaway,70-79,4130
Pickaway,80+,2227
Pike,0-19,7119
Pike,20-29,3254
Pike,30-39,3095
Pike,40-49,3447
Pike,50-59,3851
Pike,60-69,3539
Pike,70-79,2178
Pike,80+,1289
Portage,0-19,37421
Portage,20-29,28533
Portage,30-39,17443
Portage,40-49,18070
Portage,50-59,21936
Portage,60-69,20724
Portage,70-79,12219
Portage,80+,6120
Preble,0-19,9978
Preble,20-29,4420
Preble,30-39,4612
Preble,40-49,5015
Preble,50-59,5746
Preble,60-69,5669
Preble,70-79,3589
Preble,80+,1853
Putnam,0-19,9346
Putnam,20-29,3756
Putnam,30-39,3882
Putnam,40-49,3777
Putnam,50-59,4527
Putnam,60-69,4480
Putnam,70-79,2465
Putnam,80+,1628
Richland,0-19,28845
Richland,20-29,15551
Richland,30-39,14437
Richland,40-49,14395
Richland,50-59,15616
Richland,60-69,15653
Richland,70-79,10306
Richland,80+,6351
Ross,0-19,17806
Ross,20-29,9394
Ross,30-39,9608
Ross,40-49,10320
Ross,50-59,10948
Ross,60-69,9818
Ross,70-79,5813
Ross,80+,2959
Sandusky,0-19,14237
Sandusky,20-29,6644
Sandusky,30-39,6882
Sandusky,40-49,6937
Sandusky,50-59,8063
Sandusky,60-69,8116
Sandusky,70-79,4837
Sandusky,80+,2802
Scioto,0-19,18211
Scioto,20-29,9564
Scioto,30-39,9141
Scioto,40-49,9324
Scioto,50-59,9758
Scioto,60-69,9719
Scioto,70-79,6021
Scioto,80+,3576
Seneca,0-19,13966
Seneca,20-29,7183
Seneca,30-39,6248
Seneca,40-49,6419
Seneca,50-59,7091
Seneca,60-69,7394
Seneca,70-79,4298
Seneca,80+,2579
Shelby,0-19,13129
Shelby,20-29,5849
Shelby,30-39,5410
Shelby,40-49,5798
Shelby,50-59,6746
Shelby,60-69,6130
Shelby,70-79,3508
Shelby,80+,2020
Stark,0-19,87924
Stark,20-29,45748
Stark,30-39,43125
Stark,40-49,42961
Stark,50-59,50145
Stark,60-69,50180
Stark,70-79,31760
Stark,80+,18763
Summit,0-19,125033
Summit,20-29,70594
Summit,30-39,67762
Summit,40-49,63976
Summit,50-59,74432
Summit,60-69,71748
Summit,70-79,42606
Summit,80+,24862
Trumbull,0-19,44221
Trumbull,20-29,23552
Trumbull,30-39,21409
Trumbull,40-49,22619
Trumbull,50-59,27364
Trumbull,60-69,28919
Trumbull,70-79,18903
Trumbull,80+,10987
Tuscarawas,0-19,22974
Tuscarawas,20-29,10657
Tuscarawas,30-39,10732
Tuscarawas,40-49,10684
Tuscarawas,50-59,12020
Tuscarawas,60-69,12284
Tuscarawas,70-79,7820
Tuscarawas,80+,4816
Union,0-19,15780
Union,20-29,7227
Union,30-39,8497
Union,40-49,8754
Union,50-59,7965
Union,60-69,5925
Union,70-79,3255
Union,80+,1585
Van Wert,0-19,7151
Van Wert,20-29,3362
Van Wert,30-39,3219
Van Wert,40-49,3306
Van Wert,50-59,3721
Van Wert,60-69,3742
Van Wert,70-79,2339
Van Wert,80+,1435
Vinton,0-19,3121
Vinton,20-29,1497
Vinton,30-39,1388
Vinton,40-49,1704
Vinton,50-59,1919
Vinton,60-69,1857
Vinton,70-79,1092
Vinton,80+,507
Warren,0-19,62451
Warren,20-29,25719
Warren,30-39,30044
Warren,40-49,33110
Warren,50-59,33576
Warren,60-69,26146
Warren,70-79,15611
Warren,80+,7945
Washington,0-19,13283
Washington,20-29,7123
Washington,30-39,6723
Washington,40-49,6941
Washington,50-59,8237
Washington,60-69,8690
Washington,70-79,5761
Washington,80+,3153
Wayne,0-19,31398
Wayne,20-29,14735
Wayne,30-39,13186
Wayne,40-49,12803
Wayne,50-59,14606
Wayne,60-69,14504
Wayne,70-79,9120
Wayne,80+,5358
Williams,0-19,9098
Williams,20-29,4273
Williams,30-39,4319
Williams,40-49,4295
Williams,50-59,4936
Williams,60-69,4907
Williams,70-79,3042
Williams,80+,1822
Wood,0-19,32921
Wood,20-29,24624
Wood,30-39,14993
Wood,40-49,14553
Wood,50-59,15174
Wood,60-69,14975
Wood,70-79,8707
Wood,80+,4870
Wyandot,0-19,5357
Wyandot,20-29,2379
Wyandot,30-39,2572
Wyandot,40-49,2658
Wyandot,50-59,2919
Wyandot,60-69,2861
Wyandot,70-79,1837
Wyandot,80+,1189
