State,Rate
AK,12.1
AL,21.4
AR,18
AZ,12.4
CA,15.6
CO,9.7
CT,14.8
DE,13.1
FL,9.6
GA,14.5
HI,24.5
IA,15.7
ID,11.9
IL,16.3
IN,14
KS,17.1
KY,18.3
LA,15.6
MA,15.8
MD,13.6
ME,15.3
MI,14.5
MN,10
MO,18.7
MS,26.1
MT,10.7
NC,16.9
ND,15.6
NE,16.1
NH,14.3
NJ,12.6
NM,14.2
NV,16
NY,18.4
OH,15.7
OK,17.8
OR,10.2
PA,15.5
RI,13.3
SC,14.5
SD,20.7
TN,20.7
TX,12.9
UT,13.4
VA,13.1
VT,9.8
WA,10.9
WI,14.1
WV,21.2
WY,18.9
