Age,Sex,Grade,Height,Weight,Bullied_at_School
18 years old or older,Female,12th grade,1.73,61.24,No
18 years old or older,Male,12th grade,1.85,72.58,No
16 years old,Male,10th grade,1.7,71.22,Yes
15 years old,Male,9th grade,1.73,85.73,No
15 years old,Male,10th grade,1.83,92.99,No
18 years old or older,Female,12th grade,1.6,81.65,No
17 years old,Female,12th grade,1.7,65.77,Yes
15 years old,Male,9th grade,1.85,66.68,Yes
15 years old,Female,10th grade,1.65,68.04,No
18 years old or older,Female,12th grade,1.55,48.54,Yes
18 years old or older,Female,12th grade,1.57,52.16,No
14 years old,Female,9th grade,1.7,108.86,Yes
16 years old,Female,9th grade,1.68,77.11,Yes
18 years old or older,Male,12th grade,1.8,74.84,No
15 years old,Female,9th grade,1.7,73.94,Yes
15 years old,Female,9th grade,1.68,54.89,No
17 years old,Female,12th grade,1.7,61.24,No
18 years old or older,Male,12th grade,1.88,122.47,No
14 years old,Female,9th grade,1.7,51.26,No
15 years old,Female,9th grade,1.6,86.18,No
17 years old,Female,10th grade,1.57,48.54,Yes
17 years old,Male,12th grade,1.93,145.15,No
17 years old,Male,12th grade,1.83,110.22,No
15 years old,Male,9th grade,1.7,61.24,No
16 years old,Female,10th grade,1.65,63.5,Yes
18 years old or older,Male,12th grade,1.9,90.72,No
14 years old,Male,9th grade,1.78,113.4,No
15 years old,Female,9th grade,1.78,101.61,No
16 years old,Male,9th grade,1.78,138.35,No
15 years old,Male,9th grade,1.68,55.79,No
15 years old,Female,10th grade,1.57,52.16,No
18 years old or older,Male,12th grade,1.8,86.18,No
15 years old,Female,9th grade,1.55,48.99,Yes
15 years old,Female,9th grade,1.57,48.99,Yes
18 years old or older,Female,12th grade,1.65,65.77,No
18 years old or older,Male,12th grade,1.75,61.24,No
15 years old,Male,10th grade,1.78,72.58,No
14 years old,Female,9th grade,1.83,104.33,Yes
14 years old,Female,9th grade,1.5,37.65,No
14 years old,Female,9th grade,1.63,56.7,No
16 years old,Female,10th grade,1.55,45.81,No
18 years old or older,Male,12th grade,1.73,63.5,No
17 years old,Female,12th grade,1.6,50.8,No
15 years old,Male,9th grade,1.83,109.77,No
15 years old,Male,9th grade,1.85,77.57,No
15 years old,Male,10th grade,1.93,77.11,No
18 years old or older,Male,12th grade,1.78,86.18,No
18 years old or older,Male,12th grade,1.73,56.7,No
14 years old,Female,9th grade,1.7,113.4,Yes
18 years old or older,Female,12th grade,1.6,72.58,Yes
18 years old or older,Male,12th grade,1.96,124.74,Yes
15 years old,Female,9th grade,1.52,47.63,Yes
15 years old,Female,9th grade,1.65,68.04,No
16 years old,Male,10th grade,1.93,79.38,No
18 years old or older,Male,12th grade,1.83,74.84,Yes
17 years old,Male,12th grade,1.7,72.58,No
15 years old,Female,9th grade,1.5,42.18,No
15 years old,Male,10th grade,1.57,49.9,No
15 years old,Male,9th grade,1.83,81.65,No
15 years old,Female,9th grade,1.65,52.62,Yes
16 years old,Female,10th grade,1.7,61.24,Yes
17 years old,Male,11th grade,1.73,61.24,No
17 years old,Female,11th grade,1.68,64.86,No
16 years old,Female,10th grade,1.65,104.33,Yes
16 years old,Male,10th grade,1.88,95.26,No
16 years old,Female,11th grade,1.63,86.18,No
15 years old,Female,10th grade,1.57,44,No
16 years old,Female,10th grade,1.6,54.43,No
18 years old or older,Male,12th grade,1.9,83.92,No
18 years old or older,Male,12th grade,1.88,81.65,No
15 years old,Male,10th grade,1.8,113.4,Yes
16 years old,Female,10th grade,1.7,76.66,Yes
16 years old,Male,11th grade,1.83,95.26,Yes
16 years old,Female,10th grade,1.68,121.11,Yes
17 years old,Male,11th grade,1.8,83.92,No
17 years old,Male,11th grade,1.63,49.9,No
16 years old,Male,10th grade,1.7,54.89,Yes
17 years old,Male,10th grade,1.9,88.45,No
15 years old,Male,10th grade,1.83,65.77,Yes
17 years old,Female,11th grade,1.73,59.88,Yes
17 years old,Male,11th grade,1.8,72.58,No
16 years old,Female,10th grade,1.55,52.16,No
15 years old,Female,10th grade,1.57,48.54,No
17 years old,Male,11th grade,1.96,63.96,Yes
16 years old,Female,11th grade,1.6,77.57,No
17 years old,Male,10th grade,1.68,65.77,Yes
16 years old,Male,11th grade,1.96,79.83,No
15 years old,Female,10th grade,1.7,45.81,Yes
16 years old,Male,11th grade,1.75,96.62,No
18 years old or older,Female,11th grade,1.55,65.32,Yes
15 years old,Male,10th grade,1.8,83.46,No
16 years old,Male,10th grade,1.83,73.94,No
17 years old,Female,11th grade,1.57,58.97,No
17 years old,Male,12th grade,1.73,74.84,No
16 years old,Male,10th grade,1.73,61.24,Yes
16 years old,Female,10th grade,1.65,81.65,No
16 years old,Female,11th grade,1.6,48.08,Yes
17 years old,Male,11th grade,1.78,58.97,No
15 years old,Female,10th grade,1.65,58.97,No
16 years old,Male,10th grade,1.73,90.72,Yes
17 years old,Female,11th grade,1.68,68.04,No
17 years old,Female,12th grade,1.57,57.61,No
15 years old,Male,10th grade,1.83,79.83,No
16 years old,Female,10th grade,1.57,54.43,No
17 years old,Female,11th grade,1.65,102.06,No
17 years old,Male,11th grade,1.68,106.6,Yes
15 years old,Female,10th grade,1.57,49.44,Yes
14 years old,Female,9th grade,1.6,68.04,No
15 years old,Female,10th grade,1.57,77.11,No
17 years old,Male,11th grade,1.85,78.47,No
18 years old or older,Male,12th grade,1.8,73.94,No
16 years old,Female,10th grade,1.68,68.04,No
17 years old,Male,11th grade,1.75,97.98,No
15 years old,Male,10th grade,1.8,73.94,No
16 years old,Female,10th grade,1.68,63.5,No
17 years old,Male,12th grade,1.83,81.65,No
18 years old or older,Female,12th grade,1.73,97.52,No
18 years old or older,Male,12th grade,1.83,79.83,No
18 years old or older,Female,12th grade,1.57,56.7,No
18 years old or older,Male,12th grade,1.83,61.69,No
18 years old or older,Male,12th grade,1.85,74.84,No
15 years old,Male,10th grade,1.63,53.98,No
17 years old,Male,11th grade,1.7,82.56,No
17 years old,Male,11th grade,1.83,70.31,No
15 years old,Male,10th grade,1.7,58.06,No
17 years old,Female,11th grade,1.65,76.2,No
17 years old,Male,12th grade,1.78,74.84,No
15 years old,Male,10th grade,1.83,68.04,No
15 years old,Female,10th grade,1.57,58.97,No
16 years old,Female,11th grade,1.63,53.98,No
16 years old,Female,10th grade,1.65,77.11,No
15 years old,Female,10th grade,1.65,56.7,No
16 years old,Male,10th grade,1.8,72.58,Yes
17 years old,Male,11th grade,1.83,63.5,No
15 years old,Male,10th grade,1.83,73.94,No
14 years old,Female,9th grade,1.57,45.81,No
18 years old or older,Female,12th grade,1.68,94.35,No
15 years old,Female,9th grade,1.63,44,No
16 years old,Female,10th grade,1.6,44.91,No
16 years old,Female,10th grade,1.68,61.24,No
16 years old,Female,10th grade,1.75,61.24,No
15 years old,Female,9th grade,1.57,55.79,No
16 years old,Female,11th grade,1.6,72.58,Yes
14 years old,Male,9th grade,1.78,70.31,No
15 years old,Male,9th grade,1.73,88,No
18 years old or older,Female,12th grade,1.7,58.97,Yes
18 years old or older,Female,12th grade,1.75,65.77,No
18 years old or older,Male,12th grade,1.78,124.74,No
15 years old,Female,10th grade,1.6,52.62,No
16 years old,Female,10th grade,1.63,47.63,No
14 years old,Female,9th grade,1.63,61.24,No
15 years old,Male,10th grade,1.83,68.04,No
17 years old,Female,12th grade,1.65,68.04,No
16 years old,Female,10th grade,1.63,93.44,No
15 years old,Female,10th grade,1.7,70.31,No
18 years old or older,Male,12th grade,1.83,64.86,No
15 years old,Female,9th grade,1.63,54.43,Yes
18 years old or older,Female,12th grade,1.63,63.5,No
15 years old,Female,10th grade,1.63,49.9,No
17 years old,Male,11th grade,1.78,65.77,No
16 years old,Male,11th grade,1.88,79.38,No
15 years old,Male,10th grade,1.75,83.92,No
17 years old,Male,11th grade,1.83,88.45,No
14 years old,Male,9th grade,1.7,63.5,No
15 years old,Male,10th grade,1.68,55.34,No
16 years old,Male,11th grade,1.68,68.95,No
17 years old,Male,11th grade,1.8,95.26,No
15 years old,Male,9th grade,1.75,68.04,Yes
14 years old,Female,9th grade,1.63,56.7,No
15 years old,Female,9th grade,1.65,64.41,Yes
14 years old,Female,9th grade,1.73,67.59,No
16 years old,Female,11th grade,1.78,58.97,No
15 years old,Female,9th grade,1.6,47.63,No
17 years old,Female,11th grade,1.73,58.97,No
15 years old,Female,10th grade,1.6,49.9,No
17 years old,Male,12th grade,1.9,72.58,No
16 years old,Female,10th grade,1.63,46.27,No
17 years old,Male,12th grade,1.75,63.5,No
16 years old,Female,11th grade,1.57,55.79,Yes
16 years old,Female,10th grade,1.65,63.5,No
17 years old,Female,11th grade,1.65,86.18,No
15 years old,Female,9th grade,1.63,56.7,No
17 years old,Male,11th grade,1.75,68.04,No
15 years old,Female,10th grade,1.52,65.77,No
16 years old,Male,11th grade,1.83,72.58,No
17 years old,Female,11th grade,1.83,65.77,No
16 years old,Female,10th grade,1.57,47.63,No
17 years old,Male,11th grade,1.8,106.6,No
17 years old,Female,11th grade,1.65,68.04,Yes
16 years old,Male,10th grade,1.83,62.14,No
17 years old,Male,11th grade,1.78,120.2,No
17 years old,Male,11th grade,1.68,58.97,No
16 years old,Female,10th grade,1.8,81.65,No
15 years old,Male,9th grade,1.83,77.11,No
17 years old,Female,11th grade,1.7,62.6,No
15 years old,Female,10th grade,1.7,99.79,No
15 years old,Female,10th grade,1.65,63.05,No
15 years old,Female,9th grade,1.68,56.7,No
17 years old,Female,11th grade,1.63,57.61,No
15 years old,Female,10th grade,1.75,49.9,No
15 years old,Female,9th grade,1.65,54.89,No
17 years old,Female,11th grade,1.6,63.5,No
15 years old,Male,10th grade,1.73,72.58,No
17 years old,Female,12th grade,1.8,79.38,Yes
17 years old,Male,11th grade,1.85,69.4,Yes
16 years old,Male,10th grade,1.88,73.03,No
17 years old,Male,12th grade,1.83,69.85,No
16 years old,Male,10th grade,1.85,95.26,Yes
16 years old,Female,11th grade,1.57,45.36,No
16 years old,Female,11th grade,1.68,63.5,No
15 years old,Female,10th grade,1.65,61.24,No
16 years old,Female,10th grade,1.63,49.9,No
17 years old,Male,11th grade,1.78,54.43,No
17 years old,Male,11th grade,1.68,79.38,No
14 years old,Male,9th grade,1.73,51.71,Yes
15 years old,Female,9th grade,1.6,68.04,No
17 years old,Male,12th grade,1.88,82.56,No
15 years old,Male,10th grade,1.8,72.58,No
16 years old,Male,11th grade,1.8,68.04,No
14 years old,Male,9th grade,1.75,67.13,No
16 years old,Male,10th grade,1.7,58.97,Yes
18 years old or older,Male,12th grade,1.78,65.77,No
15 years old,Female,9th grade,1.6,59.88,No
17 years old,Female,11th grade,1.8,63.5,No
15 years old,Female,10th grade,1.63,63.5,Yes
18 years old or older,Female,12th grade,1.6,52.62,Yes
17 years old,Male,11th grade,1.75,72.58,No
16 years old,Female,11th grade,1.63,54.43,No
17 years old,Female,11th grade,1.68,54.43,No
16 years old,Female,11th grade,1.65,72.58,No
18 years old or older,Female,11th grade,1.7,59.88,No
16 years old,Female,11th grade,1.73,54.43,No
16 years old,Female,11th grade,1.63,87.54,No
17 years old,Female,11th grade,1.75,63.5,Yes
16 years old,Female,11th grade,1.65,68.04,No
16 years old,Female,11th grade,1.68,58.97,No
17 years old,Female,11th grade,1.6,117.94,Yes
18 years old or older,Female,12th grade,1.63,63.5,No
18 years old or older,Male,12th grade,1.68,61.24,No
18 years old or older,Female,12th grade,1.78,77.11,No
17 years old,Female,12th grade,1.57,74.39,Yes
17 years old,Female,12th grade,1.75,77.11,No
17 years old,Female,11th grade,1.63,49.9,Yes
17 years old,Female,11th grade,1.68,61.24,No
17 years old,Female,11th grade,1.6,56.7,No
17 years old,Female,12th grade,1.68,63.5,Yes
17 years old,Male,12th grade,1.9,88.45,Yes
17 years old,Female,12th grade,1.63,56.7,No
18 years old or older,Female,12th grade,1.7,54.43,No
18 years old or older,Female,12th grade,1.6,86.18,No
17 years old,Female,12th grade,1.63,52.16,Yes
18 years old or older,Female,12th grade,1.65,70.31,Yes
17 years old,Male,12th grade,1.73,65.77,No
17 years old,Female,12th grade,1.68,58.06,No
15 years old,Male,10th grade,1.83,108.86,No
15 years old,Female,10th grade,1.65,83.92,No
16 years old,Male,10th grade,1.65,68.04,No
16 years old,Female,10th grade,1.57,81.65,No
17 years old,Female,10th grade,1.7,68.95,No
17 years old,Female,10th grade,1.7,81.65,No
17 years old,Female,11th grade,1.75,59.42,No
17 years old,Male,10th grade,1.57,56.7,No
16 years old,Female,10th grade,1.68,74.84,No
15 years old,Male,10th grade,1.83,78.47,No
16 years old,Male,10th grade,1.85,108.86,No
15 years old,Female,9th grade,1.63,99.79,Yes
14 years old,Female,9th grade,1.68,68.04,No
15 years old,Female,9th grade,1.63,89.81,No
14 years old,Female,9th grade,1.55,53.52,No
15 years old,Male,9th grade,1.63,52.16,No
15 years old,Female,9th grade,1.6,84.82,No
14 years old,Female,9th grade,1.57,69.85,No
16 years old,Male,10th grade,1.73,63.5,No
16 years old,Female,10th grade,1.63,104.33,Yes
16 years old,Female,9th grade,1.45,49.9,No
16 years old,Male,10th grade,1.73,83.01,No
17 years old,Male,10th grade,1.8,143.79,No
14 years old,Male,9th grade,1.7,69.85,No
16 years old,Male,10th grade,1.7,78.47,No
16 years old,Female,10th grade,1.75,69.4,No
15 years old,Male,9th grade,1.8,56.25,No
16 years old,Male,10th grade,1.78,101.61,No
14 years old,Female,9th grade,1.55,56.7,Yes
16 years old,Male,10th grade,1.73,82.56,No
15 years old,Female,9th grade,1.65,67.13,Yes
17 years old,Female,12th grade,1.68,68.04,No
15 years old,Male,10th grade,1.78,95.26,No
16 years old,Male,10th grade,1.85,76.2,No
15 years old,Male,9th grade,1.83,101.15,No
17 years old,Male,12th grade,1.73,61.69,No
14 years old,Male,9th grade,1.63,56.7,No
15 years old,Male,10th grade,2.01,127.01,No
14 years old,Female,9th grade,1.6,44.45,No
16 years old,Male,11th grade,1.83,158.76,No
17 years old,Female,11th grade,1.65,53.98,No
17 years old,Male,11th grade,1.7,49.9,No
17 years old,Male,12th grade,1.93,88.45,No
16 years old,Male,10th grade,1.78,83.92,No
15 years old,Male,10th grade,1.73,68.04,No
14 years old,Male,9th grade,1.88,78.47,No
16 years old,Female,10th grade,1.63,49.9,No
16 years old,Female,9th grade,1.57,95.26,Yes
16 years old,Male,10th grade,1.8,83.92,No
16 years old,Male,10th grade,1.73,72.58,No
16 years old,Female,10th grade,1.57,46.27,No
15 years old,Female,9th grade,1.55,63.5,No
15 years old,Male,10th grade,1.98,71.22,No
16 years old,Female,9th grade,1.65,130.18,Yes
14 years old,Male,9th grade,1.78,65.32,No
16 years old,Male,10th grade,1.85,83.92,No
15 years old,Male,9th grade,1.78,104.33,No
15 years old,Male,10th grade,1.73,73.03,Yes
14 years old,Female,9th grade,1.7,53.98,No
17 years old,Male,10th grade,1.8,79.38,No
14 years old,Male,9th grade,1.65,56.7,No
16 years old,Female,11th grade,1.52,55.34,No
18 years old or older,Male,12th grade,1.78,68.04,No
16 years old,Male,11th grade,1.8,84.37,No
18 years old or older,Female,12th grade,1.7,80.74,No
17 years old,Female,11th grade,1.55,52.16,No
17 years old,Male,11th grade,1.78,74.39,No
18 years old or older,Female,12th grade,1.63,81.65,No
17 years old,Female,11th grade,1.68,115.67,No
18 years old or older,Male,12th grade,1.63,103.42,No
18 years old or older,Female,12th grade,1.73,81.65,No
18 years old or older,Female,12th grade,1.57,47.63,No
17 years old,Male,11th grade,1.83,76.2,Yes
17 years old,Female,12th grade,1.7,58.97,No
17 years old,Male,12th grade,1.85,72.58,No
18 years old or older,Male,12th grade,1.63,98.43,No
16 years old,Female,11th grade,1.73,92.99,Yes
16 years old,Male,12th grade,1.83,88.45,No
16 years old,Male,11th grade,1.8,90.72,No
18 years old or older,Female,12th grade,1.63,98.88,No
17 years old,Male,11th grade,1.83,99.79,No
17 years old,Male,11th grade,1.78,63.5,No
18 years old or older,Female,12th grade,1.55,68.04,No
18 years old or older,Male,12th grade,1.88,78.93,No
16 years old,Male,11th grade,1.75,74.84,No
18 years old or older,Female,12th grade,1.63,43.09,No
17 years old,Male,11th grade,1.68,64.41,No
18 years old or older,Female,12th grade,1.73,102.06,No
18 years old or older,Male,11th grade,1.88,68.04,Yes
17 years old,Male,12th grade,1.85,63.5,No
17 years old,Male,11th grade,1.7,63.96,No
18 years old or older,Female,12th grade,1.6,64.41,No
18 years old or older,Female,11th grade,1.57,90.72,No
17 years old,Male,11th grade,1.9,72.58,No
17 years old,Male,12th grade,1.75,55.79,No
18 years old or older,Male,12th grade,1.83,70.31,No
17 years old,Male,11th grade,1.75,63.5,No
17 years old,Male,11th grade,1.73,70.31,No
18 years old or older,Female,12th grade,1.68,82.56,No
18 years old or older,Male,12th grade,1.73,121.11,No
16 years old,Male,11th grade,1.73,54.43,No
17 years old,Male,11th grade,1.7,74.84,No
18 years old or older,Male,12th grade,1.9,74.84,No
18 years old or older,Male,12th grade,1.65,64.41,No
16 years old,Male,11th grade,1.78,72.58,No
16 years old,Female,11th grade,1.63,61.24,No
18 years old or older,Female,12th grade,1.68,71.67,No
16 years old,Male,11th grade,1.7,69.4,No
16 years old,Female,11th grade,1.63,68.04,No
18 years old or older,Male,12th grade,1.8,66.68,No
17 years old,Male,12th grade,1.78,65.77,No
16 years old,Male,11th grade,1.8,99.79,No
18 years old or older,Male,12th grade,1.78,82.56,No
17 years old,Male,11th grade,1.78,56.7,No
17 years old,Male,11th grade,1.78,99.79,Yes
17 years old,Female,12th grade,1.68,102.06,No
16 years old,Male,11th grade,1.68,50.8,Yes
17 years old,Male,12th grade,1.9,104.33,No
17 years old,Female,11th grade,1.68,73.48,No
17 years old,Male,11th grade,1.65,63.5,No
17 years old,Female,12th grade,1.6,49.9,No
16 years old,Female,11th grade,1.63,90.72,No
17 years old,Male,12th grade,1.88,99.79,No
16 years old,Male,11th grade,1.68,71.67,No
16 years old,Female,10th grade,1.65,61.24,No
15 years old,Female,10th grade,1.73,63.5,No
15 years old,Male,10th grade,1.68,70.31,No
16 years old,Male,10th grade,1.68,54.43,Yes
15 years old,Female,10th grade,1.57,58.97,No
16 years old,Male,10th grade,1.63,49.9,No
15 years old,Male,10th grade,1.85,89.81,No
15 years old,Male,10th grade,1.65,49.9,No
15 years old,Female,10th grade,1.63,45.36,No
15 years old,Male,10th grade,1.68,65.32,No
15 years old,Male,10th grade,1.8,76.66,Yes
15 years old,Female,10th grade,1.6,51.26,No
16 years old,Female,10th grade,1.57,64.41,No
15 years old,Male,10th grade,1.78,80.74,No
15 years old,Male,10th grade,1.7,72.58,No
16 years old,Female,10th grade,1.7,72.58,Yes
17 years old,Male,11th grade,1.8,65.77,Yes
15 years old,Female,10th grade,1.68,81.65,Yes
16 years old,Female,10th grade,1.6,43.09,No
17 years old,Female,11th grade,1.57,61.24,No
17 years old,Male,11th grade,1.8,79.38,No
16 years old,Female,10th grade,1.57,66.23,Yes
16 years old,Male,10th grade,1.83,78.93,No
16 years old,Female,11th grade,1.6,59.88,Yes
16 years old,Male,10th grade,1.96,72.58,No
16 years old,Female,10th grade,1.7,77.11,No
15 years old,Female,10th grade,1.7,58.97,No
16 years old,Female,10th grade,1.7,55.34,No
15 years old,Female,10th grade,1.6,50.35,Yes
16 years old,Female,11th grade,1.57,54.43,Yes
16 years old,Female,11th grade,1.68,58.97,No
15 years old,Male,10th grade,1.73,77.11,No
15 years old,Female,10th grade,1.6,72.58,Yes
16 years old,Male,11th grade,1.88,90.72,No
16 years old,Female,10th grade,1.65,65.77,No
15 years old,Female,10th grade,1.6,51.71,No
16 years old,Female,11th grade,1.65,58.97,No
16 years old,Male,10th grade,1.83,81.65,No
16 years old,Female,10th grade,1.6,58.97,No
16 years old,Male,11th grade,1.85,63.5,No
16 years old,Female,11th grade,1.55,61.24,Yes
16 years old,Female,11th grade,1.73,72.58,No
16 years old,Male,11th grade,1.78,61.24,No
16 years old,Male,10th grade,1.9,87.09,No
15 years old,Female,10th grade,1.57,45.36,Yes
17 years old,Female,11th grade,1.7,54.43,No
16 years old,Male,10th grade,1.68,90.72,No
16 years old,Male,10th grade,1.83,96.16,Yes
16 years old,Female,10th grade,1.65,108.86,Yes
17 years old,Female,12th grade,1.6,53.07,No
16 years old,Male,11th grade,1.8,59.88,No
15 years old,Female,10th grade,1.68,52.16,No
15 years old,Male,10th grade,1.75,79.38,No
17 years old,Female,11th grade,1.6,54.43,No
15 years old,Female,10th grade,1.6,49.9,Yes
16 years old,Male,11th grade,1.83,63.5,No
16 years old,Male,11th grade,1.83,61.24,No
16 years old,Female,10th grade,1.6,54.43,No
15 years old,Female,10th grade,1.68,54.43,Yes
16 years old,Male,11th grade,1.78,58.06,No
16 years old,Female,10th grade,1.5,48.99,Yes
16 years old,Female,10th grade,1.65,68.04,No
16 years old,Female,11th grade,1.6,52.16,No
16 years old,Male,10th grade,1.78,78.02,No
15 years old,Female,10th grade,1.7,58.97,Yes
17 years old,Male,11th grade,1.8,74.84,No
16 years old,Female,11th grade,1.73,61.24,No
15 years old,Male,10th grade,1.7,58.06,No
16 years old,Female,11th grade,1.68,81.65,Yes
17 years old,Female,11th grade,1.65,58.97,No
16 years old,Female,10th grade,1.68,58.97,Yes
16 years old,Female,10th grade,1.52,61.24,Yes
17 years old,Female,11th grade,1.63,52.16,No
17 years old,Male,11th grade,1.83,70.31,No
16 years old,Male,10th grade,1.8,71.22,No
14 years old,Male,9th grade,1.78,47.63,Yes
14 years old,Female,9th grade,1.63,49.9,No
15 years old,Male,9th grade,1.8,67.13,No
17 years old,Male,12th grade,1.83,86.18,No
17 years old,Female,12th grade,1.6,45.81,No
14 years old,Male,9th grade,1.83,81.65,No
18 years old or older,Male,12th grade,1.68,60.78,No
17 years old,Male,12th grade,1.85,99.79,Yes
15 years old,Female,9th grade,1.63,56.7,Yes
15 years old,Male,10th grade,1.73,61.24,Yes
18 years old or older,Male,12th grade,1.85,136.08,No
14 years old,Male,9th grade,1.63,63.5,No
15 years old,Male,9th grade,1.73,79.38,No
17 years old,Male,12th grade,1.88,83.92,No
18 years old or older,Male,12th grade,1.65,54.43,Yes
14 years old,Female,9th grade,1.65,45.36,No
15 years old,Male,9th grade,1.78,63.96,Yes
17 years old,Male,12th grade,1.83,95.26,No
18 years old or older,Male,12th grade,1.85,107.05,No
15 years old,Male,9th grade,1.78,68.04,No
15 years old,Male,9th grade,1.78,61.24,No
14 years old,Male,9th grade,1.73,54.43,Yes
14 years old,Male,9th grade,1.73,77.11,No
16 years old,Male,9th grade,1.73,61.69,Yes
18 years old or older,Female,12th grade,1.52,52.16,Yes
17 years old,Male,12th grade,1.83,65.77,Yes
15 years old,Male,9th grade,1.8,62.6,No
14 years old,Male,9th grade,1.7,54.43,No
18 years old or older,Male,12th grade,1.7,48.99,No
15 years old,Male,9th grade,1.65,72.58,No
17 years old,Female,12th grade,1.6,71.22,No
18 years old or older,Male,12th grade,1.55,63.5,No
14 years old,Male,9th grade,1.7,65.77,No
14 years old,Female,9th grade,1.57,51.26,No
17 years old,Female,12th grade,1.68,59.88,No
15 years old,Male,9th grade,1.78,90.72,No
17 years old,Male,12th grade,1.85,127.01,No
14 years old,Male,9th grade,1.78,63.5,No
18 years old or older,Male,12th grade,1.7,68.04,No
18 years old or older,Female,12th grade,1.65,97.98,No
18 years old or older,Male,12th grade,1.85,111.13,No
14 years old,Male,9th grade,1.88,70.31,No
14 years old,Male,9th grade,1.83,68.04,Yes
18 years old or older,Male,12th grade,1.7,58.97,No
15 years old,Male,9th grade,1.63,44.45,No
17 years old,Female,12th grade,1.73,61.24,No
14 years old,Female,9th grade,1.57,43.55,No
18 years old or older,Male,12th grade,1.78,54.43,No
17 years old,Male,12th grade,1.8,64.41,No
17 years old,Male,12th grade,1.78,63.5,No
15 years old,Female,9th grade,1.75,81.65,No
17 years old,Male,12th grade,1.93,136.08,Yes
18 years old or older,Female,12th grade,1.68,72.58,No
17 years old,Male,12th grade,1.75,78.93,No
18 years old or older,Male,12th grade,1.83,83.92,No
18 years old or older,Male,12th grade,1.9,108.86,No
17 years old,Female,11th grade,1.7,90.72,No
16 years old,Female,11th grade,1.57,63.5,No
16 years old,Female,11th grade,1.6,58.97,No
15 years old,Male,9th grade,1.8,88.45,No
18 years old or older,Male,12th grade,1.88,67.59,No
18 years old or older,Male,12th grade,1.85,86.18,No
14 years old,Female,9th grade,1.57,58.06,No
17 years old,Female,11th grade,1.63,52.16,No
15 years old,Male,9th grade,1.65,49.9,No
17 years old,Female,12th grade,1.52,68.04,No
18 years old or older,Female,12th grade,1.52,93.44,Yes
15 years old,Male,9th grade,1.68,56.7,No
17 years old,Female,12th grade,1.8,90.72,No
17 years old,Male,11th grade,1.78,79.38,No
16 years old,Male,11th grade,1.83,64.86,No
14 years old,Female,9th grade,1.63,51.26,No
18 years old or older,Male,12th grade,1.83,74.84,No
17 years old,Male,12th grade,1.8,58.06,No
18 years old or older,Female,12th grade,1.52,48.99,No
16 years old,Female,11th grade,1.63,63.5,No
15 years old,Female,10th grade,1.63,63.5,No
14 years old,Female,9th grade,1.65,57.61,Yes
15 years old,Male,10th grade,1.9,106.6,No
14 years old,Male,9th grade,1.55,45.36,Yes
15 years old,Female,10th grade,1.63,47.63,Yes
16 years old,Male,10th grade,1.65,58.97,No
14 years old,Female,9th grade,1.75,51.71,Yes
15 years old,Male,9th grade,1.78,63.5,Yes
16 years old,Male,10th grade,1.65,61.69,No
16 years old,Male,10th grade,1.85,99.79,No
15 years old,Male,9th grade,1.85,65.77,No
16 years old,Male,10th grade,1.85,108.86,No
16 years old,Male,10th grade,1.8,56.7,No
15 years old,Female,10th grade,1.73,54.43,No
15 years old,Male,10th grade,1.73,58.97,No
15 years old,Male,9th grade,1.75,62.6,No
15 years old,Male,9th grade,1.9,65.77,No
15 years old,Female,9th grade,1.75,63.5,No
17 years old,Male,10th grade,1.8,108.86,No
16 years old,Male,10th grade,1.78,90.72,No
14 years old,Male,9th grade,1.7,50.8,No
15 years old,Female,9th grade,1.6,48.54,No
14 years old,Female,9th grade,1.68,48.99,Yes
14 years old,Female,9th grade,1.63,50.8,No
16 years old,Male,10th grade,1.68,49.9,No
14 years old,Female,9th grade,1.7,58.97,No
15 years old,Female,9th grade,1.63,68.04,No
15 years old,Female,9th grade,1.6,79.38,No
16 years old,Male,10th grade,1.78,56.7,No
15 years old,Female,9th grade,1.65,57.15,No
15 years old,Male,10th grade,1.75,70.31,No
15 years old,Male,10th grade,1.78,79.38,Yes
14 years old,Male,9th grade,1.73,74.84,No
15 years old,Male,9th grade,1.83,79.38,No
16 years old,Male,10th grade,1.78,104.33,No
15 years old,Female,9th grade,1.63,58.97,No
14 years old,Female,9th grade,1.7,68.04,Yes
15 years old,Male,10th grade,1.75,68.04,Yes
16 years old,Male,10th grade,1.68,67.59,No
15 years old,Male,9th grade,1.83,69.85,No
16 years old,Male,10th grade,1.88,92.08,No
15 years old,Female,10th grade,1.52,44,Yes
14 years old,Female,9th grade,1.57,58.97,Yes
15 years old,Female,9th grade,1.75,61.24,Yes
14 years old,Male,9th grade,1.78,68.04,Yes
15 years old,Female,10th grade,1.65,81.65,No
16 years old,Male,10th grade,1.78,68.04,Yes
15 years old,Male,9th grade,1.75,63.5,No
14 years old,Male,9th grade,1.73,59.88,Yes
15 years old,Male,10th grade,1.78,81.65,No
15 years old,Female,10th grade,1.63,68.04,Yes
15 years old,Female,9th grade,1.57,63.5,Yes
15 years old,Male,9th grade,1.7,97.98,No
15 years old,Male,10th grade,1.8,60.33,No
16 years old,Male,10th grade,1.83,61.69,Yes
14 years old,Female,9th grade,1.75,56.7,Yes
16 years old,Male,9th grade,1.75,52.16,Yes
15 years old,Female,10th grade,1.65,78.02,No
15 years old,Male,10th grade,1.8,71.22,No
15 years old,Male,9th grade,1.68,52.16,No
