County,Age Range,Population
Guernsey,30-39,4424
Guernsey,40-49,4461
Guernsey,50-59,5351
Guernsey,60-69,5333
Guernsey,70-79,3422
Guernsey,80+,1677
Hamilton,0-19,216162
Hamilton,20-29,115847
Hamilton,30-39,117375
Hamilton,40-49,93373
Hamilton,50-59,103852
Hamilton,60-69,99305
Hamilton,70-79,54697
Hamilton,80+,30028
Hancock,0-19,18666
Hancock,20-29,9534
Hancock,30-39,9646
Hancock,40-49,8835
Hancock,50-59,9937
Hancock,60-69,9366
Hancock,70-79,5858
Hancock,80+,3078
Hardin,0-19,8564
Hardin,20-29,4961
Hardin,30-39,3106
Hardin,40-49,3459
Hardin,50-59,3761
Hardin,60-69,3537
Hardin,70-79,2204
Hardin,80+,1104
Harrison,0-19,3296
Harrison,20-29,1463
Harrison,30-39,1518
Harrison,40-49,1688
Harrison,50-59,2088
Harrison,60-69,2368
Harrison,70-79,1356
Harrison,80+,706
Henry,0-19,7122
Henry,20-29,3035
Henry,30-39,3206
Henry,40-49,3342
Henry,50-59,3721
Henry,60-69,3746
Henry,70-79,2144
Henry,80+,1346
Highland,0-19,11324
Highland,20-29,4835
Highland,30-39,4912
Highland,40-49,5304
Highland,50-59,5842
Highland,60-69,5670
Highland,70-79,3625
Highland,80+,1805
Hocking,0-19,6765
Hocking,20-29,3022
Hocking,30-39,3139
Hocking,40-49,3488
Hocking,50-59,4100
Hocking,60-69,3875
Hocking,70-79,2485
Hocking,80+,1176
Holmes,0-19,14911
Holmes,20-29,6101
Holmes,30-39,5112
Holmes,40-49,4760
Holmes,50-59,4816
Holmes,60-69,4396
Holmes,70-79,2612
Holmes,80+,1515
Huron,0-19,15456
Huron,20-29,6841
Huron,30-39,6863
Huron,40-49,6995
Huron,50-59,8021
Huron,60-69,7605
Huron,70-79,4582
Huron,80+,2202
Jackson,0-19,8577
Jackson,20-29,3693
Jackson,30-39,4031
Jackson,40-49,4117
Jackson,50-59,4323
Jackson,60-69,4206
Jackson,70-79,2582
Jackson,80+,1124
Jefferson,0-19,14559
Jefferson,20-29,7976
Jefferson,30-39,6963
Jefferson,40-49,7449
Jefferson,50-59,8879
